,precision,recall,f1-score,support
0,0.8597678916827853,0.8466666666666667,0.8531669865642995,2100.0
1,0.9357884796978282,0.9438095238095238,0.9397818871503082,2100.0
2,0.953399904897765,0.9547619047619048,0.954080418748513,2100.0
3,0.9145679012345679,0.8819047619047619,0.8979393939393939,2100.0
4,0.9002744739249772,0.9371428571428572,0.918338777414839,2100.0
accuracy,0.9128571428571428,0.9128571428571428,0.9128571428571428,0.9128571428571428
macro avg,0.9127597302875847,0.9128571428571428,0.9126614927634709,10500.0
weighted avg,0.9127597302875847,0.9128571428571428,0.9126614927634707,10500.0
